usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count,inference_geo,speed
2026-04-04,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,3466,0,0,0,936,0,not_available,
2026-04-05,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,6723,0,0,0,2451,0,not_available,
2026-04-06,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,6490,0,0,0,1926,0,not_available,
2026-04-07,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,9072,0,0,0,5007,0,not_available,
2026-04-08,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,6497,0,0,0,4055,0,not_available,
2026-04-09,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,6640,0,0,0,1359,0,not_available,
2026-04-10,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,804,0,0,0,279,0,not_available,
2026-04-11,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,10426,0,0,0,2845,0,not_available,
2026-04-12,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,1000,0,0,0,381,0,not_available,
2026-04-13,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,13739,0,0,0,5023,0,not_available,
2026-04-14,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,2600,0,0,0,522,0,not_available,
2026-04-15,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,3028,0,0,0,1406,0,not_available,
2026-04-16,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,1812,0,0,0,620,0,not_available,
2026-04-17,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,7996,0,0,0,2709,0,not_available,
2026-04-18,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,2610,0,0,0,706,0,not_available,
2026-04-19,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,3919,0,0,0,1115,0,not_available,
2026-04-19,claude-sonnet-4-5-20250929,cipher-n8n,Default,standard,<= 200k,4263,0,0,0,468,0,not_available,
2026-04-19,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,116,186011,0,2764603,13386,0,global,
2026-04-20,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,2840,0,0,0,714,0,not_available,
2026-04-20,claude-sonnet-4-5-20250929,cipher-n8n,Default,standard,<= 200k,14109,0,0,0,4042,0,not_available,
2026-04-21,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,4853,0,0,0,2149,0,not_available,
2026-04-21,claude-opus-4-7,cipher-n8n,Default,standard,<= 200k,56,78134,0,394880,11757,0,global,
2026-04-21,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,32948,314690,0,3402165,36383,0,global,
2026-04-22,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,1427,0,0,0,700,0,not_available,
2026-04-22,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,10,26189,0,48471,2019,0,global,
2026-04-23,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,5055,0,0,0,1515,0,not_available,
2026-04-23,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,10,26131,0,48576,1845,0,global,
2026-04-24,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,3001,0,0,0,564,0,not_available,
2026-04-24,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,11,26396,0,62517,2159,0,global,
2026-04-25,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,2778,0,0,0,672,0,not_available,
2026-04-25,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,11,27471,0,61282,2459,0,global,
2026-04-26,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,6685,0,0,0,2552,0,not_available,
2026-04-26,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,23,42152,0,180512,3499,0,global,
2026-04-27,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,5502,0,0,0,2098,0,not_available,
2026-04-27,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,42,83531,0,370613,13818,0,global,
2026-04-28,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,3591,0,0,0,1127,0,not_available,
2026-04-28,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,10,26180,0,48525,1918,0,global,
2026-04-29,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,3727,0,0,0,1336,0,not_available,
2026-04-29,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,10,26388,0,48118,1693,0,global,
2026-04-30,claude-haiku-4-5-20251001,cipher-n8n,Default,standard,<= 200k,5715,0,0,0,1813,0,not_available,
2026-04-30,claude-sonnet-4-6,cipher-n8n,Default,standard,<= 200k,12,26810,0,75532,1761,0,global,
